season,year,month,day,hr,is_holiday,is_workingday,weather_condition,temp,humidity,windspeed,count
Spring,2011,January,2,17,No,Weekend,Clear,13.940000000000001,56.99999999999999,12.998,65
Spring,2011,January,2,18,No,Weekend,Cloudy,14.76,46.0,22.0028,53
Spring,2011,January,2,19,No,Weekend,Clear,13.120000000000001,42.0,30.002599999999997,30
Spring,2011,January,2,20,No,Weekend,Clear,12.299999999999999,39.0,23.9994,22
Spring,2011,January,2,21,No,Weekend,Clear,10.66,44.0,22.0028,31
Spring,2011,January,2,22,No,Weekend,Clear,9.84,44.0,19.999499999999998,9
Spring,2011,January,2,23,No,Weekend,Clear,9.02,47.0,11.0014,8
Spring,2011,January,3,0,No,Workingday,Clear,9.02,44.0,23.9994,5
Spring,2011,January,3,1,No,Workingday,Clear,8.200000000000001,44.0,27.999299999999998,2
Spring,2011,January,3,4,No,Workingday,Clear,6.5600000000000005,47.0,26.0027,1
Spring,2011,January,3,5,No,Workingday,Clear,6.5600000000000005,47.0,19.0012,3
Spring,2011,January,3,6,No,Workingday,Clear,5.74,50.0,26.0027,30
Spring,2011,January,3,7,No,Workingday,Clear,5.74,50.0,12.998,64
Spring,2011,January,3,8,No,Workingday,Clear,5.74,50.0,19.0012,154
Spring,2011,January,3,9,No,Workingday,Clear,6.5600000000000005,43.0,26.0027,88
Spring,2011,January,3,10,No,Workingday,Clear,7.38,43.0,16.997899999999998,44
Spring,2011,January,3,11,No,Workingday,Clear,8.200000000000001,40.0,22.0028,51
Spring,2011,January,3,12,No,Workingday,Clear,9.02,35.0,19.999499999999998,61
Spring,2011,January,3,13,No,Workingday,Clear,9.84,35.0,19.0012,61
Spring,2011,January,3,14,No,Workingday,Clear,10.66,30.0,19.0012,77
Spring,2011,January,3,15,No,Workingday,Clear,10.66,30.0,16.997899999999998,72
Spring,2011,January,3,16,No,Workingday,Clear,10.66,30.0,16.997899999999998,76
Spring,2011,January,3,17,No,Workingday,Clear,9.84,30.0,15.001299999999999,157
Spring,2011,January,3,18,No,Workingday,Clear,9.84,32.0,7.0015,157
Spring,2011,January,3,19,No,Workingday,Clear,8.200000000000001,47.0,0.0,110
Spring,2011,January,3,20,No,Workingday,Clear,8.200000000000001,47.0,7.0015,52
Spring,2011,January,3,21,No,Workingday,Clear,7.38,64.0,8.9981,52
Spring,2011,January,3,22,No,Workingday,Clear,5.74,69.0,8.9981,20
Spring,2011,January,3,23,No,Workingday,Clear,7.38,55.00000000000001,7.0015,12
Spring,2011,January,4,0,No,Workingday,Clear,6.5600000000000005,55.00000000000001,7.0015,5
Spring,2011,January,4,1,No,Workingday,Clear,6.5600000000000005,59.0,7.0015,2
Spring,2011,January,4,2,No,Workingday,Clear,5.74,63.0,8.9981,1
Spring,2011,January,4,4,No,Workingday,Clear,5.74,63.0,6.0032,2
Spring,2011,January,4,5,No,Workingday,Clear,4.92,68.0,7.0015,4
Spring,2011,January,4,6,No,Workingday,Clear,4.92,74.0,7.0015,36
Spring,2011,January,4,7,No,Workingday,Clear,4.92,74.0,8.9981,94
Spring,2011,January,4,8,No,Workingday,Clear,5.74,69.0,11.0014,179
Spring,2011,January,4,9,No,Workingday,Clear,6.5600000000000005,64.0,15.001299999999999,100
Spring,2011,January,4,10,No,Workingday,Cloudy,6.5600000000000005,69.0,22.0028,42
Spring,2011,January,4,11,No,Workingday,Clear,9.02,51.0,19.999499999999998,57
Spring,2011,January,4,12,No,Workingday,Clear,9.02,51.0,11.0014,78
Spring,2011,January,4,13,No,Workingday,Clear,9.84,56.00000000000001,12.998,97
Spring,2011,January,4,14,No,Workingday,Clear,10.66,52.0,15.001299999999999,63
Spring,2011,January,4,15,No,Workingday,Clear,11.48,52.0,16.997899999999998,65
Spring,2011,January,4,16,No,Workingday,Clear,12.299999999999999,49.0,16.997899999999998,83
Spring,2011,January,4,17,No,Workingday,Clear,11.48,48.0,15.001299999999999,212
Spring,2011,January,4,18,No,Workingday,Clear,10.66,48.0,12.998,182
Spring,2011,January,4,19,No,Workingday,Clear,9.84,48.0,7.0015,112
Spring,2011,January,4,20,No,Workingday,Clear,9.84,48.0,7.0015,54
Spring,2011,January,4,21,No,Workingday,Clear,9.02,64.0,0.0,48
Spring,2011,January,4,22,No,Workingday,Clear,9.02,64.0,6.0032,35
Spring,2011,January,4,23,No,Workingday,Clear,8.200000000000001,69.0,6.0032,11
Spring,2011,January,5,0,No,Workingday,Clear,8.200000000000001,64.0,0.0,6
Spring,2011,January,5,1,No,Workingday,Clear,6.5600000000000005,74.0,6.0032,6
Spring,2011,January,5,2,No,Workingday,Clear,6.5600000000000005,74.0,6.0032,2
Spring,2011,January,5,4,No,Workingday,Clear,9.84,48.0,15.001299999999999,2
Spring,2011,January,5,5,No,Workingday,Clear,9.02,47.0,11.0014,3
Spring,2011,January,5,6,No,Workingday,Clear,8.200000000000001,47.0,15.001299999999999,33
Spring,2011,January,5,7,No,Workingday,Clear,7.38,43.0,12.998,88
Spring,2011,January,5,8,No,Workingday,Clear,8.200000000000001,40.0,19.999499999999998,195
Spring,2011,January,5,9,No,Workingday,Clear,9.02,37.0,22.0028,115
Spring,2011,January,5,10,No,Workingday,Clear,9.02,37.0,22.0028,57
Spring,2011,January,5,11,No,Workingday,Clear,10.66,33.0,22.0028,46
Spring,2011,January,5,12,No,Workingday,Clear,10.66,33.0,22.0028,79
Spring,2011,January,5,13,No,Workingday,Clear,11.48,30.0,19.999499999999998,71
Spring,2011,January,5,14,No,Workingday,Clear,12.299999999999999,28.000000000000004,12.998,62
Spring,2011,January,5,15,No,Workingday,Clear,12.299999999999999,28.000000000000004,12.998,62
Spring,2011,January,5,16,No,Workingday,Clear,12.299999999999999,28.000000000000004,6.0032,89
Spring,2011,January,5,17,No,Workingday,Clear,9.84,38.0,12.998,190
Spring,2011,January,5,18,No,Workingday,Clear,9.84,38.0,8.9981,169
Spring,2011,January,5,19,No,Workingday,Clear,9.84,38.0,7.0015,132
Spring,2011,January,5,20,No,Workingday,Clear,9.02,47.0,11.0014,89
Spring,2011,January,5,21,No,Workingday,Clear,8.200000000000001,51.0,12.998,43
Spring,2011,January,5,22,No,Workingday,Clear,7.38,55.00000000000001,8.9981,42
Spring,2011,January,5,23,No,Workingday,Clear,8.200000000000001,47.0,0.0,19
Spring,2011,January,6,0,No,Workingday,Clear,7.38,55.00000000000001,0.0,11
Spring,2011,January,6,1,No,Workingday,Clear,6.5600000000000005,64.0,0.0,4
Spring,2011,January,6,2,No,Workingday,Clear,6.5600000000000005,64.0,0.0,2
Spring,2011,January,6,4,No,Workingday,Cloudy,6.5600000000000005,64.0,6.0032,1
Spring,2011,January,6,5,No,Workingday,Cloudy,5.74,69.0,6.0032,4
Spring,2011,January,6,6,No,Workingday,Cloudy,5.74,63.0,7.0015,36
Spring,2011,January,6,7,No,Workingday,Cloudy,6.5600000000000005,59.0,0.0,95
Spring,2011,January,6,8,No,Workingday,Clear,6.5600000000000005,59.0,0.0,219
Spring,2011,January,6,9,No,Workingday,Cloudy,7.38,51.0,0.0,122
Spring,2011,January,6,10,No,Workingday,Clear,8.200000000000001,47.0,0.0,45
Spring,2011,January,6,11,No,Workingday,Clear,9.02,44.0,6.0032,59
Spring,2011,January,6,12,No,Workingday,Clear,10.66,35.0,0.0,84
Spring,2011,January,6,13,No,Workingday,Clear,10.66,35.0,7.0015,67
Spring,2011,January,6,14,No,Workingday,Clear,11.48,36.0,11.0014,70
Spring,2011,January,6,15,No,Workingday,Clear,11.48,36.0,0.0,62
Spring,2011,January,6,16,No,Workingday,Clear,10.66,38.0,11.0014,86
Spring,2011,January,6,17,No,Workingday,Clear,9.02,51.0,11.0014,172
Spring,2011,January,6,18,No,Workingday,Clear,9.02,51.0,8.9981,163
Spring,2011,January,6,19,No,Workingday,Clear,9.02,55.00000000000001,6.0032,112
Spring,2011,January,6,20,No,Workingday,Clear,8.200000000000001,51.0,11.0014,69
Spring,2011,January,6,21,No,Workingday,Cloudy,9.02,55.00000000000001,15.001299999999999,48
Spring,2011,January,6,22,No,Workingday,Cloudy,9.02,51.0,19.0012,52
Spring,2011,January,6,23,No,Workingday,Cloudy,8.200000000000001,59.0,12.998,23
Spring,2011,January,7,0,No,Workingday,Cloudy,8.200000000000001,64.0,12.998,17
Spring,2011,January,7,1,No,Workingday,Cloudy,8.200000000000001,69.0,15.001299999999999,7
Spring,2011,January,7,2,No,Workingday,Cloudy,8.200000000000001,69.0,15.001299999999999,1
Spring,2011,January,7,4,No,Workingday,Cloudy,8.200000000000001,69.0,8.9981,1
Spring,2011,January,7,5,No,Workingday,Light Rain,9.02,55.00000000000001,0.0,5
Spring,2011,January,7,6,No,Workingday,Cloudy,8.200000000000001,69.0,0.0,34
Spring,2011,January,7,7,No,Workingday,Clear,8.200000000000001,69.0,8.9981,84
Spring,2011,January,7,8,No,Workingday,Clear,8.200000000000001,51.0,16.997899999999998,210
Spring,2011,January,7,9,No,Workingday,Clear,8.200000000000001,47.0,19.999499999999998,134
Spring,2011,January,7,10,No,Workingday,Clear,9.02,37.0,22.0028,63
Spring,2011,January,7,11,No,Workingday,Cloudy,8.200000000000001,40.0,15.001299999999999,67
Spring,2011,January,7,12,No,Workingday,Cloudy,8.200000000000001,37.0,16.997899999999998,59
Spring,2011,January,7,13,No,Workingday,Cloudy,8.200000000000001,37.0,19.0012,73
Spring,2011,January,7,14,No,Workingday,Cloudy,8.200000000000001,40.0,16.997899999999998,50
Spring,2011,January,7,15,No,Workingday,Cloudy,8.200000000000001,37.0,11.0014,72
Spring,2011,January,7,16,No,Workingday,Cloudy,8.200000000000001,37.0,11.0014,87
Spring,2011,January,7,17,No,Workingday,Cloudy,8.200000000000001,37.0,0.0,187
Spring,2011,January,7,18,No,Workingday,Clear,8.200000000000001,40.0,6.0032,123
Spring,2011,January,7,19,No,Workingday,Clear,6.5600000000000005,55.00000000000001,6.0032,95
Spring,2011,January,7,20,No,Workingday,Clear,7.38,47.0,7.0015,51
Spring,2011,January,7,21,No,Workingday,Clear,7.38,47.0,8.9981,39
Spring,2011,January,7,22,No,Workingday,Cloudy,7.38,43.0,11.0014,36
Spring,2011,January,7,23,No,Workingday,Cloudy,7.38,51.0,11.0014,15
Spring,2011,January,8,0,No,Weekend,Cloudy,7.38,51.0,11.0014,25
Spring,2011,January,8,1,No,Weekend,Cloudy,7.38,55.00000000000001,6.0032,16
Spring,2011,January,8,2,No,Weekend,Cloudy,7.38,55.00000000000001,0.0,16
Spring,2011,January,8,3,No,Weekend,Light Rain,7.38,55.00000000000001,11.0014,7
Spring,2011,January,8,4,No,Weekend,Light Rain,7.38,55.00000000000001,11.0014,1
Spring,2011,January,8,5,No,Weekend,Cloudy,6.5600000000000005,74.0,11.0014,5
Spring,2011,January,8,6,No,Weekend,Cloudy,6.5600000000000005,74.0,11.0014,2
Spring,2011,January,8,7,No,Weekend,Cloudy,6.5600000000000005,74.0,7.0015,9
Spring,2011,January,8,8,No,Weekend,Light Rain,6.5600000000000005,93.0,7.0015,15
Spring,2011,January,8,9,No,Weekend,Light Rain,6.5600000000000005,93.0,7.0015,20
Spring,2011,January,8,10,No,Weekend,Cloudy,7.38,80.0,11.0014,61
Spring,2011,January,8,11,No,Weekend,Cloudy,8.200000000000001,69.0,26.0027,62
Spring,2011,January,8,12,No,Weekend,Cloudy,8.200000000000001,59.0,23.9994,98
Spring,2011,January,8,13,No,Weekend,Clear,8.200000000000001,44.0,22.0028,102
Spring,2011,January,8,14,No,Weekend,Clear,8.200000000000001,32.0,32.9975,95
Spring,2011,January,8,15,No,Weekend,Clear,8.200000000000001,32.0,30.002599999999997,74
Spring,2011,January,8,16,No,Weekend,Clear,7.38,28.999999999999996,30.002599999999997,76
Spring,2011,January,8,17,No,Weekend,Clear,6.5600000000000005,37.0,36.9974,69
Spring,2011,January,8,18,No,Weekend,Clear,5.74,39.0,19.999499999999998,55
Spring,2011,January,8,19,No,Weekend,Clear,5.74,36.0,16.997899999999998,30
Spring,2011,January,8,20,No,Weekend,Clear,4.92,36.0,16.997899999999998,28
Spring,2011,January,8,21,No,Weekend,Clear,4.92,39.0,23.9994,37
Spring,2011,January,8,22,No,Weekend,Clear,4.92,36.0,26.0027,34
Spring,2011,January,8,23,No,Weekend,Clear,4.1000000000000005,39.0,30.002599999999997,22
Spring,2011,January,9,0,No,Weekend,Clear,4.1000000000000005,42.0,26.0027,25
Spring,2011,January,9,1,No,Weekend,Clear,4.1000000000000005,42.0,31.0009,12
Spring,2011,January,9,2,No,Weekend,Clear,4.1000000000000005,46.0,31.0009,11
Spring,2011,January,9,3,No,Weekend,Clear,4.1000000000000005,46.0,27.999299999999998,4
Spring,2011,January,9,4,No,Weekend,Clear,3.2800000000000002,53.0,12.998,1
Spring,2011,January,9,5,No,Weekend,Clear,3.2800000000000002,53.0,12.998,1
Spring,2011,January,9,6,No,Weekend,Clear,4.1000000000000005,49.0,19.0012,1
Spring,2011,January,9,7,No,Weekend,Clear,3.2800000000000002,53.0,12.998,6
Spring,2011,January,9,8,No,Weekend,Clear,4.1000000000000005,49.0,19.0012,10
Spring,2011,January,9,9,No,Weekend,Clear,4.92,46.0,35.0008,19
Spring,2011,January,9,10,No,Weekend,Clear,5.74,43.0,26.0027,49
Spring,2011,January,9,11,No,Weekend,Clear,6.5600000000000005,40.0,35.0008,49
Spring,2011,January,9,12,No,Weekend,Clear,7.38,37.0,30.002599999999997,83
Spring,2011,January,9,13,No,Weekend,Clear,8.200000000000001,34.0,30.002599999999997,75
Spring,2011,January,9,14,No,Weekend,Clear,9.02,32.0,31.0009,72
Spring,2011,January,9,15,No,Weekend,Clear,9.02,35.0,23.9994,82
Spring,2011,January,9,16,No,Weekend,Clear,8.200000000000001,34.0,30.002599999999997,92
Spring,2011,January,9,17,No,Weekend,Clear,7.38,37.0,26.0027,62
Spring,2011,January,9,18,No,Weekend,Clear,6.5600000000000005,40.0,22.0028,48
Spring,2011,January,9,19,No,Weekend,Clear,6.5600000000000005,43.0,22.0028,41
Spring,2011,January,9,20,No,Weekend,Clear,5.74,46.0,16.997899999999998,38
Spring,2011,January,9,21,No,Weekend,Clear,5.74,46.0,27.999299999999998,20
Spring,2011,January,9,22,No,Weekend,Clear,5.74,46.0,19.999499999999998,15
Spring,2011,January,9,23,No,Weekend,Clear,4.92,50.0,12.998,6
Spring,2011,January,10,0,No,Workingday,Clear,4.92,50.0,19.0012,5
Spring,2011,January,10,1,No,Workingday,Clear,4.92,50.0,19.0012,1
Spring,2011,January,10,2,No,Workingday,Clear,4.92,50.0,15.001299999999999,3
Spring,2011,January,10,3,No,Workingday,Clear,4.92,50.0,15.001299999999999,1
Spring,2011,January,10,4,No,Workingday,Clear,4.1000000000000005,54.0,8.9981,3
Spring,2011,January,10,5,No,Workingday,Clear,4.1000000000000005,54.0,16.997899999999998,3
Spring,2011,January,10,6,No,Workingday,Clear,4.92,50.0,19.0012,31
Spring,2011,January,10,7,No,Workingday,Clear,4.92,50.0,15.001299999999999,77
Spring,2011,January,10,8,No,Workingday,Cloudy,4.92,50.0,19.0012,188
Spring,2011,January,10,9,No,Workingday,Cloudy,5.74,50.0,16.997899999999998,94
Spring,2011,January,10,10,No,Workingday,Cloudy,5.74,50.0,19.999499999999998,31
Spring,2011,January,10,11,No,Workingday,Cloudy,6.5600000000000005,47.0,19.0012,30
Spring,2011,January,10,12,No,Workingday,Cloudy,8.200000000000001,40.0,19.0012,52
Spring,2011,January,10,13,No,Workingday,Cloudy,8.200000000000001,40.0,19.0012,54
Spring,2011,January,10,14,No,Workingday,Cloudy,8.200000000000001,40.0,15.001299999999999,47
Spring,2011,January,10,15,No,Workingday,Cloudy,8.200000000000001,40.0,15.001299999999999,45
Spring,2011,January,10,16,No,Workingday,Clear,8.200000000000001,40.0,8.9981,74
Spring,2011,January,10,17,No,Workingday,Clear,8.200000000000001,40.0,7.0015,178
Spring,2011,January,10,18,No,Workingday,Clear,8.200000000000001,40.0,15.001299999999999,155
Spring,2011,January,10,19,No,Workingday,Clear,6.5600000000000005,47.0,11.0014,95
Spring,2011,January,10,20,No,Workingday,Clear,6.5600000000000005,50.0,11.0014,74
Spring,2011,January,10,21,No,Workingday,Clear,5.74,59.0,12.998,38
Spring,2011,January,10,22,No,Workingday,Clear,5.74,59.0,11.0014,24
Spring,2011,January,10,23,No,Workingday,Clear,5.74,59.0,11.0014,18
Spring,2011,January,11,0,No,Workingday,Clear,5.74,59.0,7.0015,12
Spring,2011,January,11,1,No,Workingday,Clear,5.74,59.0,11.0014,3
Spring,2011,January,11,2,No,Workingday,Cloudy,6.5600000000000005,55.00000000000001,12.998,3
Spring,2011,January,11,5,No,Workingday,Cloudy,6.5600000000000005,55.00000000000001,8.9981,6
Spring,2011,January,11,6,No,Workingday,Cloudy,6.5600000000000005,55.00000000000001,8.9981,27
Spring,2011,January,11,7,No,Workingday,Cloudy,6.5600000000000005,55.00000000000001,0.0,99
Spring,2011,January,11,8,No,Workingday,Cloudy,7.38,51.0,6.0032,217
Spring,2011,January,11,9,No,Workingday,Cloudy,7.38,51.0,11.0014,130
Spring,2011,January,11,10,No,Workingday,Cloudy,8.200000000000001,51.0,11.0014,54
Spring,2011,January,11,11,No,Workingday,Cloudy,8.200000000000001,47.0,8.9981,35
Spring,2011,January,11,12,No,Workingday,Cloudy,8.200000000000001,51.0,7.0015,57
Spring,2011,January,11,13,No,Workingday,Cloudy,8.200000000000001,59.0,6.0032,52
Spring,2011,January,11,14,No,Workingday,Cloudy,8.200000000000001,59.0,6.0032,63
Spring,2011,January,11,15,No,Workingday,Cloudy,6.5600000000000005,80.0,6.0032,47
Spring,2011,January,11,16,No,Workingday,Cloudy,6.5600000000000005,86.0,15.001299999999999,76
Spring,2011,January,11,17,No,Workingday,Cloudy,6.5600000000000005,86.0,15.001299999999999,136
Spring,2011,January,11,18,No,Workingday,Light Rain,6.5600000000000005,93.0,7.0015,95
Spring,2011,January,11,19,No,Workingday,Light Rain,6.5600000000000005,93.0,0.0,51
Spring,2011,January,11,20,No,Workingday,Light Rain,6.5600000000000005,93.0,12.998,32
Spring,2011,January,11,21,No,Workingday,Light Rain,6.5600000000000005,86.0,6.0032,20
Spring,2011,January,11,22,No,Workingday,Light Rain,6.5600000000000005,93.0,7.0015,29
Spring,2011,January,11,23,No,Workingday,Light Rain,6.5600000000000005,93.0,6.0032,19
Spring,2011,January,12,0,No,Workingday,Cloudy,6.5600000000000005,86.0,6.0032,7
Spring,2011,January,12,1,No,Workingday,Cloudy,6.5600000000000005,86.0,7.0015,6
Spring,2011,January,12,2,No,Workingday,Clear,5.74,86.0,8.9981,1
Spring,2011,January,12,5,No,Workingday,Clear,5.74,86.0,11.0014,5
Spring,2011,January,12,6,No,Workingday,Clear,4.92,93.0,8.9981,16
Spring,2011,January,12,7,No,Workingday,Clear,5.74,69.0,8.9981,54
Spring,2011,January,12,8,No,Workingday,Clear,6.5600000000000005,59.0,11.0014,128
Spring,2011,January,12,9,No,Workingday,Clear,6.5600000000000005,59.0,22.0028,81
Spring,2011,January,12,10,No,Workingday,Clear,7.38,55.00000000000001,15.001299999999999,39
Spring,2011,January,12,11,No,Workingday,Clear,8.200000000000001,51.0,26.0027,35
Spring,2011,January,12,12,No,Workingday,Clear,8.200000000000001,47.0,39.000699999999995,55
Spring,2011,January,12,13,No,Workingday,Clear,9.02,44.0,23.9994,49
Spring,2011,January,12,14,No,Workingday,Clear,8.200000000000001,47.0,22.0028,44
Spring,2011,January,12,15,No,Workingday,Clear,8.200000000000001,47.0,27.999299999999998,49
Spring,2011,January,12,16,No,Workingday,Clear,9.02,44.0,22.0028,68
Spring,2011,January,12,17,No,Workingday,Clear,8.200000000000001,47.0,23.9994,139
Spring,2011,January,12,18,No,Workingday,Clear,8.200000000000001,47.0,35.0008,137
Spring,2011,January,12,19,No,Workingday,Clear,7.38,47.0,27.999299999999998,83
Spring,2011,January,12,20,No,Workingday,Clear,6.5600000000000005,50.0,22.0028,56
Spring,2011,January,12,21,No,Workingday,Clear,6.5600000000000005,55.00000000000001,22.0028,57
Spring,2011,January,12,22,No,Workingday,Clear,6.5600000000000005,55.00000000000001,30.002599999999997,33
Spring,2011,January,12,23,No,Workingday,Clear,5.74,59.0,27.999299999999998,20
Spring,2011,January,13,0,No,Workingday,Clear,5.74,59.0,19.0012,7
Spring,2011,January,13,1,No,Workingday,Clear,5.74,50.0,19.0012,2
Spring,2011,January,13,2,No,Workingday,Clear,5.74,50.0,23.9994,2
Spring,2011,January,13,3,No,Workingday,Clear,5.74,50.0,22.0028,3
Spring,2011,January,13,4,No,Workingday,Clear,5.74,50.0,16.997899999999998,4
Spring,2011,January,13,5,No,Workingday,Clear,5.74,50.0,19.999499999999998,3
Spring,2011,January,13,6,No,Workingday,Clear,4.92,54.0,8.9981,28
Spring,2011,January,13,7,No,Workingday,Clear,4.92,54.0,8.9981,72
Spring,2011,January,13,8,No,Workingday,Clear,5.74,50.0,12.998,202
Spring,2011,January,13,9,No,Workingday,Clear,5.74,50.0,22.0028,139
Spring,2011,January,13,10,No,Workingday,Cloudy,6.5600000000000005,50.0,23.9994,38
Spring,2011,January,13,11,No,Workingday,Cloudy,8.200000000000001,44.0,30.002599999999997,37
Spring,2011,January,13,12,No,Workingday,Clear,8.200000000000001,44.0,27.999299999999998,52
Spring,2011,January,13,13,No,Workingday,Clear,9.02,41.0,30.002599999999997,83
Spring,2011,January,13,14,No,Workingday,Clear,9.02,41.0,26.0027,42
Spring,2011,January,13,15,No,Workingday,Clear,9.84,38.0,19.999499999999998,60
Spring,2011,January,13,16,No,Workingday,Clear,9.84,38.0,23.9994,78
Spring,2011,January,13,17,No,Workingday,Clear,8.200000000000001,40.0,19.0012,162
Spring,2011,January,13,18,No,Workingday,Clear,8.200000000000001,40.0,22.0028,144
Spring,2011,January,13,19,No,Workingday,Clear,6.5600000000000005,47.0,16.997899999999998,99
Spring,2011,January,13,20,No,Workingday,Clear,6.5600000000000005,47.0,15.001299999999999,64
Spring,2011,January,13,21,No,Workingday,Clear,5.74,46.0,19.999499999999998,40
Spring,2011,January,13,22,No,Workingday,Clear,5.74,46.0,22.0028,30
Spring,2011,January,13,23,No,Workingday,Clear,4.92,50.0,12.998,15
Spring,2011,January,14,0,No,Workingday,Clear,4.92,50.0,12.998,14
Spring,2011,January,14,1,No,Workingday,Clear,4.1000000000000005,54.0,11.0014,5
Spring,2011,January,14,2,No,Workingday,Clear,4.1000000000000005,54.0,8.9981,1
Spring,2011,January,14,3,No,Workingday,Clear,4.1000000000000005,54.0,7.0015,1
Spring,2011,January,14,5,No,Workingday,Clear,4.1000000000000005,54.0,6.0032,8
Spring,2011,January,14,6,No,Workingday,Clear,4.1000000000000005,54.0,0.0,17
Spring,2011,January,14,7,No,Workingday,Clear,4.1000000000000005,74.0,11.0014,70
Spring,2011,January,14,8,No,Workingday,Clear,4.92,68.0,0.0,158
Spring,2011,January,14,9,No,Workingday,Clear,5.74,69.0,8.9981,117
Spring,2011,January,14,10,No,Workingday,Clear,7.38,55.00000000000001,12.998,44
Spring,2011,January,14,11,No,Workingday,Clear,7.38,51.0,19.0012,53
Spring,2011,January,14,12,No,Workingday,Clear,8.200000000000001,44.0,16.997899999999998,61
Spring,2011,January,14,13,No,Workingday,Clear,9.02,37.0,26.0027,77
Spring,2011,January,14,14,No,Workingday,Clear,9.02,41.0,19.0012,64
Spring,2011,January,14,15,No,Workingday,Clear,9.84,38.0,11.0014,68
Spring,2011,January,14,16,No,Workingday,Clear,9.02,41.0,7.0015,90
Spring,2011,January,14,17,No,Workingday,Clear,9.02,41.0,11.0014,159
Spring,2011,January,14,18,No,Workingday,Clear,8.200000000000001,47.0,0.0,139
Spring,2011,January,14,19,No,Workingday,Clear,6.5600000000000005,59.0,6.0032,92
Spring,2011,January,14,20,No,Workingday,Clear,7.38,59.0,0.0,68
Spring,2011,January,14,21,No,Workingday,Clear,6.5600000000000005,69.0,0.0,52
Spring,2011,January,14,22,No,Workingday,Cloudy,6.5600000000000005,69.0,0.0,36
Spring,2011,January,14,23,No,Workingday,Cloudy,7.38,55.00000000000001,0.0,27
Spring,2011,January,15,0,No,Weekend,Clear,7.38,55.00000000000001,0.0,28
Spring,2011,January,15,1,No,Weekend,Cloudy,6.5600000000000005,59.0,6.0032,20
